,model,epoch,value
0,BQN,0,1
1,BQN,1,1
2,BQN,2,1
3,BQN,3,1
4,BQN,4,1
5,BQN,5,1
6,BQN,6,1
7,BQN,7,1
8,BQN,8,1
9,BQN,9,1
10,BQN,10,1
11,BQN,11,1
12,BQN,12,1
13,BQN,13,1
14,BQN,14,1
15,BQN,15,1
16,BQN,16,1
17,BQN,17,1
18,BQN,18,1
19,BQN,19,1
20,BQN,20,1
21,BQN,21,1
22,BQN,22,1
23,BQN,23,1
24,BQN,24,1
25,BQN,25,1
26,BQN,26,1
27,BQN,27,1
28,BQN,28,1
29,BQN,29,1
30,BQN,30,1
31,BQN,31,1
32,BQN,32,1
33,BQN,33,1
34,BQN,34,1
35,BQN,35,1
36,BQN,36,1
37,BQN,37,1
38,BQN,38,1
39,BQN,39,1
40,BQN,40,1
41,BQN,41,1
42,BQN,42,1
43,BQN,43,1
44,BQN,44,1
45,BQN,45,1
46,BQN,46,1
47,BQN,47,1
48,BQN,48,1
49,BQN,49,2
50,BQN,50,1
51,BQN,51,1
52,BQN,52,1
53,BQN,53,1
54,BQN,54,1
55,BQN,55,1
56,BQN,56,1
57,BQN,57,1
58,BQN,58,1
59,BQN,59,1
60,original,0,2
61,original,1,2
62,original,2,2
63,original,3,2
64,original,4,2
65,original,5,2
66,original,6,2
67,original,7,1
68,original,8,2
69,original,9,2
70,original,10,2
71,original,11,2
72,original,12,2
73,original,13,2
74,original,14,2
75,original,15,2
76,original,16,2
77,original,17,2
78,original,18,2
79,original,19,2
80,original,20,2
81,original,21,2
82,original,22,2
83,original,23,2
84,original,24,2
85,original,25,3
86,original,26,2
87,original,27,2
88,original,28,2
89,original,29,2
90,original,30,2
91,original,31,2
92,original,32,2
93,original,33,3
94,original,34,2
95,original,35,2
96,original,36,2
97,original,37,2
98,original,38,2
99,original,39,2
100,original,40,2
101,original,41,2
102,original,42,2
103,original,43,2
104,original,44,2
105,original,45,3
106,original,46,2
107,original,47,2
108,original,48,2
109,original,49,2
110,angleradius,0,4
111,angleradius,1,2
112,angleradius,2,2
113,angleradius,3,2
114,angleradius,4,2
115,angleradius,5,2
116,angleradius,6,2
117,angleradius,7,2
118,angleradius,8,1
119,angleradius,9,0
120,angleradius,10,0
121,angleradius,11,0
122,angleradius,12,0
123,angleradius,13,0
124,angleradius,14,0
125,angleradius,15,0
126,angleradius,16,0
127,angleradius,17,0
128,angleradius,18,0
129,angleradius,19,0
130,angleradius,20,0
131,angleradius,21,0
132,angleradius,22,0
133,angleradius,23,0
134,angleradius,24,0
135,angleradius,25,0
136,angleradius,26,0
137,angleradius,27,0
138,angleradius,28,0
139,angleradius,29,0
140,angleradius,30,0
141,angleradius,31,0
142,angleradius,32,0
143,angleradius,33,0
144,angleradius,34,0
145,angleradius,35,0
146,angleradius,36,0
147,angleradius,37,0
148,angleradius,38,0
149,angleradius,39,0
150,angleradius,40,0
151,angleradius,41,0
152,angleradius,42,0
153,angleradius,43,0
154,angleradius,44,0
155,angleradius,45,0
156,angleradius,46,0
157,angleradius,47,0
158,angleradius,48,0
159,angleradius,49,0
160,angle,0,3
161,angle,1,3
162,angle,2,3
163,angle,3,2
164,angle,4,2
165,angle,5,2
166,angle,6,2
167,angle,7,2
168,angle,8,1
169,angle,9,1
170,angle,10,1
171,angle,11,1
172,angle,12,1
173,angle,13,1
174,angle,14,1
175,angle,15,1
176,angle,16,1
177,angle,17,1
178,angle,18,1
179,angle,19,1
180,angle,20,1
181,angle,21,1
182,angle,22,1
183,angle,23,1
184,angle,24,1
185,angle,25,1
186,angle,26,1
187,angle,27,1
188,angle,28,1
189,angle,29,1
190,angle,30,1
191,angle,31,1
192,angle,32,1
193,angle,33,1
194,angle,34,1
195,angle,35,1
196,angle,36,1
197,angle,37,1
198,angle,38,1
199,angle,39,1
200,angle,40,1
201,angle,41,1
202,angle,42,1
203,angle,43,1
204,angle,44,1
205,angle,45,1
206,angle,46,1
207,angle,47,1
208,angle,48,1
209,angle,49,1
210,angle,50,1
211,angle,51,1
212,angle,52,1
213,angle,53,1
214,angle,54,1
215,angle,55,1
216,angle,56,1
217,angle,57,2
218,angle,58,1
219,angle,59,1
220,radius,0,2
221,radius,1,2
222,radius,2,2
223,radius,3,2
224,radius,4,2
225,radius,5,2
226,radius,6,2
227,radius,7,2
228,radius,8,2
229,radius,9,2
230,radius,10,2
231,radius,11,2
232,radius,12,2
233,radius,13,2
234,radius,14,2
235,radius,15,2
236,radius,16,2
237,radius,17,2
238,radius,18,2
239,radius,19,2
240,radius,20,2
241,radius,21,2
242,radius,22,2
243,radius,23,2
244,radius,24,2
245,radius,25,2
246,radius,26,2
247,radius,27,2
248,radius,28,2
249,radius,29,2
250,radius,30,2
251,radius,31,2
252,radius,32,2
253,radius,33,2
254,radius,34,2
255,radius,35,2
256,radius,36,2
257,radius,37,2
258,radius,38,2
259,radius,39,2
260,radius,40,2
261,radius,41,2
262,radius,42,2
263,radius,43,2
264,radius,44,2
265,radius,45,2
266,radius,46,2
267,radius,47,2
268,radius,48,2
269,radius,49,2
270,radius,50,2
271,radius,51,2
272,radius,52,2
273,radius,53,2
274,radius,54,2
275,radius,55,2
276,radius,56,2
277,radius,57,2
278,radius,58,2
279,radius,59,2
